ds,Weather,Bargain,y,Closed,Holiday
1990-10-22,0.0,1.0,69536.0,0,0
1990-10-23,0.0,1.0,302376.0,0,0
1990-10-24,0.0,1.0,188021.0,0,0
1990-10-25,0.0,1.0,118971.0,0,0
1990-10-26,0.0,1.0,138062.0,0,0
1990-10-27,0.0,1.0,126079.0,0,0
1990-10-28,0.0,0.0,76103.0,0,0
1990-10-29,0.0,0.0,66818.0,0,0
1990-10-30,1.0,0.0,32350.0,0,0
1990-10-31,0.0,0.0,56220.0,0,0
1990-11-01,0.0,0.0,0.0,1,0
1990-11-02,0.0,0.0,82054.0,0,0
1990-11-03,0.0,0.0,67572.0,0,1
1990-11-04,1.0,0.0,45191.0,0,0
1990-11-05,0.0,0.0,63571.0,0,0
1990-11-06,0.0,0.0,67923.0,0,0
1990-11-07,0.0,0.0,76696.0,0,0
1990-11-08,0.0,0.0,0.0,1,0
1990-11-09,0.0,0.0,65206.0,0,0
1990-11-10,0.0,0.0,68716.0,0,0
1990-11-11,0.0,0.0,78202.0,0,0
1990-11-12,0.0,0.0,90338.0,0,1
1990-11-13,0.0,0.0,60271.0,0,0
1990-11-14,0.0,0.0,74012.0,0,0
1990-11-15,0.0,0.0,56070.0,0,0
1990-11-16,0.0,1.0,183177.0,0,0
1990-11-17,0.0,1.0,142633.0,0,0
1990-11-18,0.0,1.0,92258.0,0,0
1990-11-19,0.0,0.0,76731.0,0,0
1990-11-20,1.0,0.0,52269.0,0,0
1990-11-21,0.0,0.0,80561.0,0,0
1990-11-22,0.0,0.0,0.0,1,0
1990-11-23,0.0,0.0,97565.0,0,1
1990-11-24,0.0,0.0,78935.0,0,0
1990-11-25,0.0,0.0,85343.0,0,0
1990-11-26,0.0,0.0,74677.0,0,0
1990-11-27,0.0,1.0,164350.0,0,0
1990-11-28,1.0,1.0,36764.0,0,0
1990-11-29,1.0,1.0,52036.0,0,0
1990-11-30,1.0,0.0,38819.0,0,0
1990-12-01,0.0,0.0,100891.0,0,0
1990-12-02,0.0,0.0,70251.0,0,0
1990-12-03,0.0,0.0,59594.0,0,0
1990-12-04,0.0,0.0,78824.0,0,0
1990-12-05,0.0,0.0,98955.0,0,0
1990-12-06,0.0,0.0,0.0,1,0
1990-12-07,0.0,0.0,83897.0,0,0
1990-12-08,0.0,0.0,92719.0,0,0
1990-12-09,1.0,0.0,62572.0,0,0
1990-12-10,0.0,0.0,93392.0,0,0
1990-12-11,1.0,0.0,84656.0,0,0
1990-12-12,0.0,0.0,78125.0,0,0
1990-12-13,0.0,1.0,106491.0,0,0
1990-12-14,0.0,1.0,102343.0,0,0
1990-12-15,0.0,1.0,115994.0,0,0
1990-12-16,0.0,1.0,100046.0,0,0
1990-12-17,0.0,0.0,73162.0,0,0
1990-12-18,0.0,0.0,65307.0,0,0
1990-12-19,0.0,0.0,73463.0,0,0
1990-12-20,0.0,0.0,79078.0,0,0
1990-12-21,1.0,0.0,66782.0,0,0
1990-12-22,0.0,0.0,82859.0,0,0
1990-12-23,0.0,0.0,82474.0,0,1
1990-12-24,0.0,0.0,90622.0,0,1
1990-12-25,0.0,1.0,138316.0,0,0
1990-12-26,1.0,1.0,111090.0,0,0
1990-12-27,0.0,1.0,107878.0,0,0
1990-12-28,0.0,1.0,88750.0,0,0
1990-12-29,0.0,1.0,124465.0,0,0
1990-12-30,0.0,0.0,131609.0,0,0
1990-12-31,0.0,0.0,146227.0,0,0
1991-01-01,0.0,0.0,0.0,1,1
1991-01-02,0.0,0.0,0.0,1,0
1991-01-03,0.0,0.0,0.0,1,0
1991-01-04,0.0,0.0,0.0,1,0
1991-01-05,0.0,0.0,67834.0,0,0
1991-01-06,0.0,0.0,61097.0,0,0
1991-01-07,0.0,0.0,74252.0,0,0
1991-01-08,0.0,0.0,82642.0,0,0
1991-01-09,0.0,0.0,64608.0,0,0
1991-01-10,0.0,0.0,0.0,1,0
1991-01-11,0.0,1.0,200626.0,0,0
1991-01-12,1.0,1.0,91627.0,0,0
1991-01-13,1.0,1.0,122309.0,0,0
1991-01-14,0.0,0.0,67549.0,0,0
1991-01-15,0.0,0.0,83257.0,0,1
1991-01-16,0.0,0.0,76654.0,0,0
1991-01-17,1.0,0.0,58751.0,0,0
1991-01-18,0.0,0.0,63357.0,0,0
1991-01-19,0.0,0.0,73537.0,0,0
1991-01-20,0.0,0.0,86594.0,0,0
1991-01-21,0.0,0.0,0.0,1,0
1991-01-22,0.0,0.0,81205.0,0,0
1991-01-23,0.0,0.0,65460.0,0,0
1991-01-24,0.0,0.0,68018.0,0,0
1991-01-25,0.0,0.0,70257.0,0,0
1991-01-26,0.0,0.0,67336.0,0,0
1991-01-27,0.0,0.0,64833.0,0,0
1991-01-28,0.0,0.0,68931.0,0,0
1991-01-29,0.0,0.0,52705.0,0,0
1991-01-30,0.0,0.0,52672.0,0,0
1991-01-31,0.0,0.0,73861.0,0,0
1991-02-01,0.0,0.0,84723.0,0,0
1991-02-02,0.0,0.0,70765.0,0,0
1991-02-03,0.0,0.0,70806.0,0,0
1991-02-04,0.0,0.0,72408.0,0,0
1991-02-05,0.0,0.0,55660.0,0,0
1991-02-06,0.0,0.0,0.0,1,0
1991-02-07,0.0,0.0,0.0,1,0
1991-02-08,0.0,0.0,65796.0,0,0
1991-02-09,0.0,0.0,67254.0,0,0
1991-02-10,1.0,1.0,67702.0,0,0
1991-02-11,0.0,1.0,113187.0,0,1
1991-02-12,1.0,1.0,75296.0,0,0
1991-02-13,0.0,1.0,72115.0,0,0
1991-02-14,0.0,1.0,62981.0,0,0
1991-02-15,1.0,1.0,38890.0,0,0
1991-02-16,0.0,1.0,81803.0,0,0
1991-02-17,0.0,1.0,57327.0,0,0
1991-02-18,0.0,0.0,55445.0,0,0
1991-02-19,0.0,0.0,62326.0,0,0
1991-02-20,0.0,0.0,95460.0,0,0
1991-02-21,0.0,0.0,0.0,1,0
1991-02-22,0.0,0.0,64870.0,0,0
1991-02-23,0.0,0.0,70525.0,0,0
1991-02-24,0.0,0.0,64768.0,0,0
1991-02-25,0.0,0.0,59782.0,0,0
1991-02-26,0.0,0.0,90430.0,0,0
1991-02-27,0.0,1.0,152356.0,0,0
1991-02-28,1.0,1.0,62019.0,0,0
1991-03-01,1.0,1.0,52598.0,0,0
1991-03-02,0.0,1.0,98122.0,0,0
1991-03-03,0.0,1.0,63967.0,0,0
1991-03-04,0.0,0.0,68849.0,0,0
1991-03-05,0.0,0.0,64924.0,0,0
1991-03-06,0.0,0.0,67750.0,0,0
1991-03-07,0.0,0.0,0.0,1,0
1991-03-08,0.0,0.0,0.0,1,0
1991-03-09,0.0,0.0,70773.0,0,0
1991-03-10,0.0,0.0,76467.0,0,0
1991-03-11,1.0,0.0,34480.0,0,0
1991-03-12,0.0,0.0,54461.0,0,0
1991-03-13,0.0,0.0,53337.0,0,0
1991-03-14,1.0,1.0,57371.0,0,0
1991-03-15,0.0,1.0,88101.0,0,0
1991-03-16,0.0,1.0,61545.0,0,0
1991-03-17,0.0,1.0,83367.0,0,0
1991-03-18,0.0,0.0,67383.0,0,0
1991-03-19,0.0,0.0,73062.0,0,0
1991-03-20,0.0,0.0,69790.0,0,0
1991-03-21,0.0,0.0,0.0,1,1
1991-03-22,1.0,0.0,34882.0,0,0
1991-03-23,0.0,0.0,66118.0,0,0
1991-03-24,0.0,0.0,72365.0,0,0
1991-03-25,1.0,0.0,46721.0,0,0
1991-03-26,0.0,0.0,85364.0,0,0
1991-03-27,1.0,1.0,67261.0,0,0
1991-03-28,1.0,1.0,62033.0,0,0
1991-03-29,0.0,1.0,105961.0,0,0
1991-03-30,1.0,1.0,108309.0,0,0
1991-03-31,1.0,1.0,73337.0,0,0
1991-04-01,1.0,0.0,60820.0,0,0
1991-04-02,0.0,0.0,76313.0,0,0
1991-04-03,0.0,0.0,77522.0,0,0
1991-04-04,0.0,0.0,0.0,1,0
1991-04-05,0.0,0.0,82024.0,0,0
1991-04-06,1.0,0.0,60987.0,0,0
1991-04-07,1.0,0.0,39447.0,0,0
1991-04-08,1.0,0.0,48832.0,0,0
1991-04-09,0.0,0.0,109691.0,0,0
1991-04-10,0.0,0.0,80425.0,0,0
1991-04-11,0.0,0.0,0.0,1,0
1991-04-12,1.0,0.0,100775.0,0,0
1991-04-13,1.0,0.0,66070.0,0,0
1991-04-14,0.0,0.0,117271.0,0,0
1991-04-15,0.0,0.0,86301.0,0,0
1991-04-16,0.0,0.0,121415.0,0,0
1991-04-17,0.0,0.0,129033.0,0,0
1991-04-18,0.0,0.0,0.0,1,0
1991-04-19,0.0,0.0,82848.0,0,0
1991-04-20,0.0,0.0,87665.0,0,0
1991-04-21,1.0,0.0,98427.0,0,0
1991-04-22,0.0,0.0,92856.0,0,0
1991-04-23,0.0,1.0,379220.0,0,0
1991-04-24,0.0,1.0,304581.0,0,0
1991-04-25,1.0,1.0,86260.0,0,0
1991-04-26,0.0,1.0,138321.0,0,0
1991-04-27,0.0,1.0,146075.0,0,0
1991-04-28,0.0,1.0,114186.0,0,0
1991-04-29,1.0,1.0,80508.0,0,1
1991-04-30,0.0,0.0,62205.0,0,0
1991-05-01,0.0,0.0,78284.0,0,0
1991-05-02,0.0,0.0,0.0,1,0
1991-05-03,0.0,0.0,78541.0,0,1
1991-05-04,0.0,0.0,81384.0,0,1
1991-05-05,0.0,0.0,95043.0,0,1
1991-05-06,0.0,0.0,100068.0,0,1
1991-05-07,0.0,0.0,80325.0,0,0
1991-05-08,1.0,0.0,60483.0,0,0
1991-05-09,1.0,0.0,46333.0,0,0
1991-05-10,0.0,1.0,144391.0,0,0
1991-05-11,0.0,1.0,156484.0,0,0
1991-05-12,1.0,0.0,70474.0,0,0
1991-05-13,0.0,0.0,89764.0,0,0
1991-05-14,1.0,0.0,79505.0,0,0
1991-05-15,1.0,0.0,53334.0,0,0
1991-05-16,0.0,0.0,0.0,1,0
1991-05-17,0.0,0.0,94362.0,0,0
1991-05-18,0.0,0.0,96905.0,0,0
1991-05-19,0.0,0.0,102799.0,0,0
1991-05-20,0.0,0.0,89872.0,0,0
1991-05-21,0.0,0.0,82830.0,0,0
1991-05-22,0.0,0.0,82670.0,0,0
1991-05-23,0.0,0.0,0.0,1,0
1991-05-24,0.0,0.0,79358.0,0,0
1991-05-25,0.0,0.0,116658.0,0,0
1991-05-26,0.0,0.0,95459.0,0,0
1991-05-27,1.0,0.0,47285.0,0,0
1991-05-28,0.0,0.0,61979.0,0,0
1991-05-29,0.0,0.0,63818.0,0,0
1991-05-30,0.0,1.0,204391.0,0,0
1991-05-31,1.0,1.0,68767.0,0,0
1991-06-01,1.0,1.0,97057.0,0,0
1991-06-02,1.0,1.0,76230.0,0,0
1991-06-03,1.0,0.0,52035.0,0,0
1991-06-04,0.0,0.0,77212.0,0,0
1991-06-05,0.0,0.0,86052.0,0,0
1991-06-06,0.0,0.0,0.0,1,0
1991-06-07,0.0,0.0,94899.0,0,0
1991-06-08,0.0,0.0,93021.0,0,0
1991-06-09,0.0,0.0,105812.0,0,0
1991-06-10,1.0,0.0,66026.0,0,0
1991-06-11,0.0,0.0,112122.0,0,0
1991-06-12,0.0,0.0,123252.0,0,0
1991-06-13,0.0,0.0,0.0,1,0
1991-06-14,0.0,0.0,124970.0,0,0
1991-06-15,0.0,0.0,102591.0,0,0
1991-06-16,0.0,0.0,110955.0,0,0
1991-06-17,0.0,0.0,95008.0,0,0
1991-06-18,0.0,0.0,89884.0,0,0
1991-06-19,0.0,0.0,84659.0,0,0
1991-06-20,0.0,0.0,0.0,1,0
1991-06-21,0.0,0.0,108682.0,0,0
1991-06-22,1.0,0.0,51240.0,0,0
1991-06-23,1.0,0.0,69390.0,0,0
1991-06-24,1.0,0.0,73726.0,0,0
1991-06-25,0.0,1.0,212731.0,0,0
1991-06-26,0.0,1.0,135149.0,0,0
1991-06-27,0.0,1.0,132830.0,0,0
1991-06-28,0.0,1.0,108331.0,0,0
1991-06-29,0.0,1.0,110193.0,0,0
1991-06-30,0.0,0.0,112651.0,0,0
1991-07-01,1.0,0.0,71537.0,0,0
1991-07-02,0.0,0.0,77432.0,0,0
1991-07-03,0.0,0.0,81044.0,0,0
1991-07-04,0.0,0.0,0.0,1,0
1991-07-05,0.0,0.0,81884.0,0,0
1991-07-06,0.0,0.0,98542.0,0,0
1991-07-07,0.0,0.0,93580.0,0,0
1991-07-08,0.0,0.0,74157.0,0,0
1991-07-09,0.0,0.0,88959.0,0,0
1991-07-10,0.0,0.0,91626.0,0,0
1991-07-11,0.0,1.0,168469.0,0,0
1991-07-12,0.0,1.0,128117.0,0,0
1991-07-13,0.0,1.0,86026.0,0,0
1991-07-14,0.0,1.0,107220.0,0,0
1991-07-15,0.0,0.0,66021.0,0,0
1991-07-16,1.0,0.0,49131.0,0,0
1991-07-17,0.0,0.0,84622.0,0,0
1991-07-18,0.0,0.0,0.0,1,0
1991-07-19,0.0,0.0,105640.0,0,0
1991-07-20,0.0,0.0,101983.0,0,0
1991-07-21,0.0,0.0,97704.0,0,0
1991-07-22,0.0,0.0,88159.0,0,0
1991-07-23,0.0,0.0,86179.0,0,0
1991-07-24,0.0,0.0,102850.0,0,0
1991-07-25,0.0,1.0,175732.0,0,0
1991-07-26,0.0,1.0,133184.0,0,0
1991-07-27,1.0,1.0,113697.0,0,0
1991-07-28,0.0,1.0,120057.0,0,0
1991-07-29,0.0,0.0,86106.0,0,0
1991-07-30,1.0,0.0,66335.0,0,0
1991-07-31,0.0,0.0,90254.0,0,0
1991-08-01,1.0,0.0,67114.0,0,0
1991-08-02,0.0,0.0,94245.0,0,0
1991-08-03,0.0,0.0,95620.0,0,0
1991-08-04,0.0,0.0,93831.0,0,0
1991-08-05,0.0,0.0,85377.0,0,0
1991-08-06,0.0,1.0,163051.0,0,0
1991-08-07,1.0,1.0,134056.0,0,0
1991-08-08,0.0,1.0,106012.0,0,0
1991-08-09,0.0,1.0,90616.0,0,0
